committee_id,committee_name,committee_state,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,disbursement_type,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00044776,ALABAMA REPUBLICAN PARTY,AL,2018,M5,201805079111993773,21B,SB21B.40194.0,1229547,ORG,ORGANIZATION,,,TRUMP NATIONAL DORAL MIAMI,FL,,,DRUMMOND REIMBURSEMENT:TRAVEL:LODGING,X,,2018-04-09 0:00:00,854.28,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-05-08 1:30:49,,SB21B.40194,SB21B,0,,,,,,,,,,,,Y,F3X,4050720181539868807,DORAL,33178,TRAVEL,,2018,SB,4050720181539893695,http://docquery.fec.gov/cgi-bin/fecimg/?201805079111993773,Other Federal Operating Expenditures,,,,,,
C00571018,COTTON VICTORY,AR,2018,Q2,201807139115434602,21B,SB21B.I3636,1246177,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,JFC LODGING,,,2018-05-11 0:00:00,327.18,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-17 1:32:50,,,,0,,,,,,,,,,,,N,F3X,4071320181575852961,WASHINGTON,20004,TRAVEL,,2018,SB,4071620181576004497,http://docquery.fec.gov/cgi-bin/fecimg/?201807139115434602,Other Federal Operating Expenditures,,,,,,
C00571018,COTTON VICTORY,AR,2018,Q2,201807139115434605,21B,SB21B.I3946,1246177,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,JFC EVENT/CATERING/ROOM RENTAL/AUDIO VISUAL,X,,2018-05-14 0:00:00,8183.8,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-17 1:33:22,,SB21B.I3646,SB21B,0,,,,,,,,,,,,N,F3X,4071320181575852961,WASHINGTON,20004,ADMINISTRATIVE,,2018,SB,4071620181576004511,http://docquery.fec.gov/cgi-bin/fecimg/?201807139115434605,Other Federal Operating Expenditures,,,,,,
C00571018,COTTON VICTORY,AR,2018,Q2,201807139115434602,21B,SB21B.I3634,1246177,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,JFC EVENT/CATERING/ROOM RENTAL/AUDIO VISUAL,,,2018-05-11 0:00:00,10398.61,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-17 1:33:19,,,,0,,,,,,,,,,,,N,F3X,4071320181575852961,WASHINGTON,20004,ADMINISTRATIVE,,2018,SB,4071620181576004495,http://docquery.fec.gov/cgi-bin/fecimg/?201807139115434602,Other Federal Operating Expenditures,,,,,,
C00008227,ARIZONA REPUBLICAN PARTY,AZ,2018,M7,201807139115434293,21B,SB21B.16140.1,1246171,ORG,ORGANIZATION,,,TRUMP NATIONAL DORAL MIAMI,FL,,,WESTERN ALLIANCE BANK PAYMENT: TRAVEL: LODGING,X,,2018-06-20 0:00:00,1178,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-16 1:29:26,,SB21B.16140,SB21B,0,,,,,,,,,,,,Y,F3X,4071320181575852957,DORAL,33178,TRAVEL,,2018,SB,4071520181575963652,http://docquery.fec.gov/cgi-bin/fecimg/?201807139115434293,Other Federal Operating Expenditures,,,,,,
C00610451,BIGGS FOR CONGRESS,AZ,2017,YE,201801319091169861,17,B4AADDAE174624466AD7,1204557,ORG,ORGANIZATION,,,TRUMP HOTEL,DC,,,MEALS/MEETINGS,X,,2017-10-25 0:00:00,267.7,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-03 1:50:32,,B520A54CA55B7483381F,SB17,0,,,,,,,,,,,,H,F3,4013120181503500613,WASHINGTON,200042501,TRAVEL,,2018,SB,4020220181503732764,http://docquery.fec.gov/cgi-bin/fecimg/?201801319091169861,Operating Expenditures,,,,,,
C00639690,ANTONIO SABATO JR FOR CONGRESS,CA,2018,Q2,201807159115505356,17,EDTB26EXPB2273,1247457,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,LODGING & MEAL COSTS,X,,2018-06-26 0:00:00,961.5,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-16 1:32:14,,EXPB2273,SB17,0,,,,2,Travel Expenses,"SABATO JR, ANTONIO",1441 HONEY CREEK CT,,THOUSAND OAKS,CA,91320,H,F3,4071520181575953118,WASHINGTON,20004,TRAVEL,,2018,SB,4071520181575974189,http://docquery.fec.gov/cgi-bin/fecimg/?201807159115505356,Operating Expenditures,,,,,,
C00639690,ANTONIO SABATO JR FOR CONGRESS,CA,2018,Q3,201810159124980440,17,EDTB38EXPB2489,1271488,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,MEETING & LODGING COSTS,X,,2018-07-20 0:00:00,1796.18,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-20 2:33:59,,EXPB2489,SB17,0,,,,3,Solicitation and Fundraising Expenses,"SABATO JR, ANTONIO",1441 HONEY CREEK CT,,THOUSAND OAKS,CA,91320,H,F3,4101520181599335799,WASHINGTON,20004,TRAVEL,,2018,SB,4101920181600248473,http://docquery.fec.gov/cgi-bin/fecimg/?201810159124980440,Operating Expenditures,,,,,,
C00639690,ANTONIO SABATO JR FOR CONGRESS,CA,2018,Q3,201810159124980446,17,EDTB34EXPB2499,1271488,ORG,ORGANIZATION,,,TRUMP INTERNATIONAL HOTEL,DC,,,LODGING COSTS,X,,2018-08-07 0:00:00,117.4,,,,,,,,,,,,,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,2018-10-20 2:33:59,,EXPB2499,SB17,0,,,,2,Travel Expenses,"MELTON, JOHN",507 S NEWKIRK STREET,,BALTIMORE,MD,21224,H,F3,4101520181599335799,WASHINGTON,20004,TRAVEL,,2018,SB,4101920181600248509,http://docquery.fec.gov/cgi-bin/fecimg/?201810159124980446,Operating Expenditures,,,,,,
C00473272,DENHAM FOR CONGRESS,CA,2017,Q3,201803029095643063,17,EDTB1319EXPB14625,1212113,ORG,ORGANIZATION,,,TRUMP INT'L HOTEL,DC,,,FUNDRAISING EVENT,X,,2017-09-13 0:00:00,873.5,,,,,,,,,,,,,P2018,,PRIMARY,2018,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2018-03-03 1:49:26,,EXPB14625,SB17,0,,,,3,Solicitation and Fundraising Expenses,CHASE CARD SERVICES,P. O. BOX 94014,,PALATINE,IL,60094,H,F3,4030220181518816473,WASHINGTON,20004,FUNDRAISING,,2018,SB,4030220181518820071,http://docquery.fec.gov/cgi-bin/fecimg/?201803029095643063,Operating Expenditures,,,,,,
